--------------------------------------------------【Header】--------------------------------------------------
2022-07-23 11:55:14,820 INFO  [35964-21] DisplayInfoGet  GetDisplayList()获取到显示器数量：1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(89行)
2022-07-23 12:40:59,115 INFO  [35964-6] DisplayInfo  DisplayInformation.GetDisplayMonitorsAsync() 获取到设备数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(63行)
2022-07-23 12:40:59,116 INFO  [35964-6] DisplayInfo  [{"DeviceInstanceId":"DISPLAY\\MSI3CA3\\5&14475071&0&UID4356","DisplayName":"MSI PAG271CQR","IsInternal":false,"ConnectionDescription":"HDMI","PhysicalSize":26.9708023},{"DeviceInstanceId":"DISPLAY\\CSO1609\\5&14475071&0&UID4357","DisplayName":"","IsInternal":true,"ConnectionDescription":"Internal","PhysicalSize":16.0043125}]  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfo.cs(65行)
2022-07-23 12:40:59,117 INFO  [35964-6] DisplayInfoGet   DisplayInfo.GetDisplayMonitorsAsync()获取到显示器数量：2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayInfoGet.cs(48行)
2022-07-23 12:40:59,117 INFO  [35964-6] DisplayContext  EnumerateDevices() 开始获取显示器枚举信息  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(73行)
2022-07-23 12:40:59,118 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 12:40:59,119 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:1  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 12:40:59,120 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
2022-07-23 12:40:59,122 INFO  [35964-6] DisplayContext  TryGetDisplayIndex() 获取到设备序号 displayIndex:2  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(85行)
2022-07-23 12:40:59,123 INFO  [35964-6] DisplayContext  EnumDisplayDevices() 获取到设备枚举信息 displayName:\\.\DISPLAY3  D:\yuanx\C#\PCDeviceManage\PCDeviceManage\Monitor\DisplayContext.cs(77行)
